UserID,Date,AvgAmount,Category,Age,Sex
1,2024-04-01,55798,숙박,27,M
1,2024-04-01,31545,종합소매점,27,M
1,2024-04-01,32575,휴게소/대형업체,27,M
1,2024-04-01,65646,요가/단전/마사지,27,M
1,2024-04-01,34375,분식,27,M
1,2024-04-02,20594,취미/오락,27,M
1,2024-04-02,44615,종합소매점,27,M
1,2024-04-02,99016,한식,27,M
1,2024-04-02,15000,커피/음료,27,M
1,2024-04-02,8976,종합소매점,27,M
1,2024-04-03,31025,취미/오락,27,M
1,2024-04-03,65338,연료판매,27,M
1,2024-04-03,64518,일식/수산물,27,M
1,2024-04-03,77411,종합소매점,27,M
1,2024-04-03,3937,의복/의류,27,M
1,2024-04-04,26833,닭/오리요리,27,M
1,2024-04-04,51836,일반스포츠,27,M
1,2024-04-04,29154,연료판매,27,M
1,2024-04-04,85867,양식,27,M
1,2024-04-04,13899,기업,27,M
1,2024-04-05,53905,제조/도매,27,M
1,2024-04-05,52072,종합소매점,27,M
1,2024-04-05,34926,연료판매,27,M
1,2024-04-05,37102,외국어학원,27,M
1,2024-04-05,29583,연료판매,27,M
1,2024-04-06,78318,패션잡화,27,M
1,2024-04-06,45173,한식,27,M
1,2024-04-06,15310,별식/퓨전요리,27,M
1,2024-04-06,22807,의복/의류,27,M
1,2024-04-06,26750,제과/제빵/떡/케익,27,M
1,2024-04-07,13972,휴게소/대형업체,27,M
1,2024-04-07,19816,보안/운송,27,M
1,2024-04-07,50849,분식,27,M
1,2024-04-07,19062,휴게소/대형업체,27,M
1,2024-04-07,24597,간이주점,27,M
1,2024-04-08,26888,별식/퓨전요리,27,M
1,2024-04-08,89207,연료판매,27,M
1,2024-04-08,34086,음/식료품소매,27,M
1,2024-04-08,7552,별식/퓨전요리,27,M
1,2024-04-08,89557,종합소매점,27,M
1,2024-04-09,30264,건강/기호식품,27,M
1,2024-04-09,20520,제과/제빵/떡/케익,27,M
1,2024-04-09,35314,별식/퓨전요리,27,M
1,2024-04-09,36247,종합소매점,27,M
1,2024-04-09,35098,중식,27,M
1,2024-04-10,47723,연료판매,27,M
1,2024-04-10,63707,고기요리,27,M
1,2024-04-10,28058,제과/제빵/떡/케익,27,M
1,2024-04-10,54282,중식,27,M
1,2024-04-10,2631,휴게소/대형업체,27,M
1,2024-04-11,14021,커피/음료,27,M
1,2024-04-11,34294,취미/오락,27,M
1,2024-04-11,53391,중식,27,M
1,2024-04-11,17423,분식,27,M
1,2024-04-11,99456,음/식료품소매,27,M
1,2024-04-12,45861,음/식료품소매,27,M
1,2024-04-12,93789,입시학원,27,M
1,2024-04-12,89647,예체능계학원,27,M
1,2024-04-12,31606,휴게소/대형업체,27,M
1,2024-04-12,38085,인테리어/가정용품,27,M
1,2024-04-13,24392,중식,27,M
1,2024-04-13,1519,패스트푸드,27,M
1,2024-04-13,99825,일반스포츠,27,M
1,2024-04-13,19422,화장품소매,27,M
1,2024-04-13,43924,세탁/가사서비스,27,M
1,2024-04-14,51748,닭/오리요리,27,M
1,2024-04-14,15032,닭/오리요리,27,M
1,2024-04-14,94997,음/식료품소매,27,M
1,2024-04-14,19927,의복/의류,27,M
1,2024-04-14,78012,음/식료품소매,27,M
1,2024-04-15,23588,종합소매점,27,M
1,2024-04-15,51812,종합소매점,27,M
1,2024-04-15,21263,고기요리,27,M
1,2024-04-15,19517,양식,27,M
1,2024-04-15,8885,패스트푸드,27,M
1,2024-04-16,66737,간이주점,27,M
1,2024-04-16,61998,종합소매점,27,M
1,2024-04-16,80102,음/식료품소매,27,M
1,2024-04-16,5754,커피/음료,27,M
1,2024-04-16,26984,인테리어/가정용품,27,M
1,2024-04-17,8493,의약/의료품,27,M
1,2024-04-17,55236,한식,27,M
1,2024-04-17,69756,차량관리/서비스,27,M
1,2024-04-17,42351,별식/퓨전요리,27,M
1,2024-04-17,85497,종합소매점,27,M
1,2024-04-18,21978,휴게소/대형업체,27,M
1,2024-04-18,57675,종합소매점,27,M
1,2024-04-18,24191,중식,27,M
1,2024-04-18,17065,한식,27,M
1,2024-04-18,87919,간이주점,27,M
1,2024-04-19,12557,일반스포츠,27,M
1,2024-04-19,30670,연료판매,27,M
1,2024-04-19,44562,의복/의류,27,M
1,2024-04-19,37600,종합소매점,27,M
1,2024-04-19,28955,분식,27,M
1,2024-04-20,90738,연료판매,27,M
1,2024-04-20,15000,커피/음료,27,M
1,2024-04-20,20024,패스트푸드,27,M
1,2024-04-20,77198,간이주점,27,M
1,2024-04-20,10866,커피/음료,27,M
1,2024-04-21,37995,연료판매,27,M
1,2024-04-21,97369,가전제품,27,M
1,2024-04-21,95401,일반병원,27,M
1,2024-04-21,50247,간이주점,27,M
1,2024-04-21,66952,일식/수산물,27,M
1,2024-04-22,42332,종합소매점,27,M
1,2024-04-22,9400,보안/운송,27,M
1,2024-04-22,96868,분식,27,M
1,2024-04-22,48012,일반병원,27,M
1,2024-04-22,80132,화장품소매,27,M
1,2024-04-23,84996,종합소매점,27,M
1,2024-04-23,3052,한식,27,M
1,2024-04-23,10628,음/식료품소매,27,M
1,2024-04-23,74447,일반스포츠,27,M
1,2024-04-23,92691,일반스포츠,27,M
1,2024-04-24,16256,제과/제빵/떡/케익,27,M
1,2024-04-24,39898,음/식료품소매,27,M
